valence,year,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
0.0594,1921,0.982,0.279,831667,0.211,4BJqT0PrAfrxzMOxytFOIz,0.878,10,0.665,-20.096,1,4,0.0366,80.954
0.963,1921,0.732,0.819,180533,0.341,7xPhfUan2yNtyFG0cUWkt8,0,7,0.16,-12.441,1,5,0.415,60.936
0.0394,1921,0.961,0.328,500062,0.166,1o6I8BglA6ylDMrIELygv1,0.913,3,0.101,-14.85,1,5,0.0339,110.339
0.165,1921,0.967,0.275,210000,0.309,3ftBPsC5vPBKxYSee08FDH,2.77E-05,5,0.381,-9.316,1,3,0.0354,100.109
0.253,1921,0.957,0.418,166693,0.193,4d6HGyGT8e121BsdKmw9v6,1.68E-06,3,0.229,-10.096,1,2,0.038,101.665
0.196,1921,0.579,0.697,395076,0.346,4pyw9DVHGStUre4J6hPngr,0.168,2,0.13,-12.506,1,6,0.07,119.824
0.406,1921,0.996,0.518,159507,0.203,5uNZnElqOS3W4fRmRYPk4T,0,0,0.115,-10.589,1,4,0.0615,66.221
0.0731,1921,0.993,0.389,218773,0.088,02GDntOXexBFUvSgaXLPkd,0.527,1,0.363,-21.091,0,2,0.0456,92.867
0.282,1921,0.989,0.384,221013,0.171,0NFeJgmTAV1kDfzSQNK41Z,0.82,7,0.116,-20.476,0,4,0.0319,107.698
0.218,1921,0.957,0.259,186467,0.212,0Nk5f07H3JaEunGrYfbqHM,0.000222,2,0.236,-13.3,1,1,0.0358,85.726
0.185,1921,0.505,0.233,686664,0.00817,0yxeAe7MlS0UWZVdNZVZWw,0.000203,8,0.109,-37.311,1,5,0.0305,108.143
0.47,1921,0.766,0.453,337607,0.559,107JTiqeqxj5P0ocypagMK,0.0104,9,0.213,-8.072,1,1,0.0329,156.077
0.0608,1921,0.975,0.37,401058,0.196,1OicZEUVSwpiAosSQm16D8,0.945,4,0.143,-15.531,1,1,0.0449,116.65
0.077,1921,0.994,0.248,117467,0.0876,1Pb4ebTZ4t8erRbLPPb8Pk,0.907,5,0.165,-25.786,1,1,0.0566,82.025
0.0594,1921,0.982,0.279,831667,0.211,1SCWBjhk5WmXPxhDduD3HM,0.878,10,0.665,-20.096,1,1,0.0366,80.954
0.0348,1921,0.849,0.0663,537733,0.0257,1xGx91Ks3RQFqyam0Fdrky,0.956,6,0.0709,-31.134,0,1,0.0472,74.282
0.0379,1921,0.992,0.241,167867,0.109,2Cfk7LOOiTLVxe9BNoGGCL,0.853,1,0.0771,-19.286,1,4,0.0377,79.974
0.222,1921,0.982,0.363,163627,0.12,2CkM2wcBtqG796dZeZJhPk,1.75E-05,7,0.355,-14.037,1,1,0.0452,82.315
0.072,1921,0.923,0.396,378070,0.3,2OlwTxNQ9kSkbPFC7tQN5x,0.61,9,0.135,-11.768,1,2,0.0353,110.746